market_hash_name,base_name,wear,min_price,suggested_price,mean_price,quantity
M4A4 | Howl (Factory New),M4A4 | Howl,Factory New,6979.61,8513.21,8545.66,3
Souvenir AUG | Carved Jade (Field-Tested),Souvenir AUG | Carved Jade,Field-Tested,2.38,2.58,5.06,13
Souvenir AUG | Carved Jade (Minimal Wear),Souvenir AUG | Carved Jade,Minimal Wear,2.56,3.14,15.74,46
Souvenir AUG | Colony (Battle-Scarred),Souvenir AUG | Colony,Battle-Scarred,0.75,0.44,12.43,12
Souvenir AUG | Colony (Factory New),Souvenir AUG | Colony,Factory New,19.99,13.25,41.73,2
Souvenir AUG | Colony (Field-Tested),Souvenir AUG | Colony,Field-Tested,0.24,0.32,8.31,60
Souvenir AUG | Colony (Minimal Wear),Souvenir AUG | Colony,Minimal Wear,1.12,0.87,20.99,47
Souvenir AUG | Colony (Well-Worn),Souvenir AUG | Colony,Well-Worn,2.0,0.52,7.6,7
Souvenir AUG | Condemned (Battle-Scarred),Souvenir AUG | Condemned,Battle-Scarred,50.0,20.84,50.0,1
Souvenir AUG | Condemned (Factory New),Souvenir AUG | Condemned,Factory New,,3503.04,,0
Souvenir AUG | Condemned (Field-Tested),Souvenir AUG | Condemned,Field-Tested,,35.73,,0
Souvenir AUG | Condemned (Minimal Wear),Souvenir AUG | Condemned,Minimal Wear,136.87,111.47,136.87,1
Souvenir AUG | Condemned (Well-Worn),Souvenir AUG | Condemned,Well-Worn,,139.16,,0
Souvenir AUG | Contractor (Battle-Scarred),Souvenir AUG | Contractor,Battle-Scarred,34.43,12.46,154.81,3
Souvenir AUG | Contractor (Factory New),Souvenir AUG | Contractor,Factory New,,251.79,,0
Souvenir AUG | Contractor (Field-Tested),Souvenir AUG | Contractor,Field-Tested,17.0,11.97,49.62,4
Souvenir AUG | Contractor (Minimal Wear),Souvenir AUG | Contractor,Minimal Wear,15.0,10.63,298.33,3
Souvenir AUG | Contractor (Well-Worn),Souvenir AUG | Contractor,Well-Worn,,13.27,,0
Souvenir AUG | Radiation Hazard (Battle-Scarred),Souvenir AUG | Radiation Hazard,Battle-Scarred,4.56,1.52,4.56,1
Souvenir AUG | Radiation Hazard (Factory New),Souvenir AUG | Radiation Hazard,Factory New,4.35,4.36,32.68,29
Souvenir AUG | Radiation Hazard (Field-Tested),Souvenir AUG | Radiation Hazard,Field-Tested,1.89,1.48,14.87,58
Souvenir AUG | Radiation Hazard (Minimal Wear),Souvenir AUG | Radiation Hazard,Minimal Wear,3.83,2.28,14.66,52
Souvenir AUG | Radiation Hazard (Well-Worn),Souvenir AUG | Radiation Hazard,Well-Worn,3.0,1.91,3.0,1
Souvenir AUG | Random Access (Battle-Scarred),Souvenir AUG | Random Access,Battle-Scarred,,4.36,,0
Souvenir AUG | Random Access (Factory New),Souvenir AUG | Random Access,Factory New,11.51,4.47,24.1,5
Souvenir AUG | Random Access (Field-Tested),Souvenir AUG | Random Access,Field-Tested,2.96,1.27,3.72,3
Souvenir AUG | Random Access (Minimal Wear),Souvenir AUG | Random Access,Minimal Wear,2.76,2.18,6.22,3
Souvenir AUG | Random Access (Well-Worn),Souvenir AUG | Random Access,Well-Worn,,4.96,,0
Souvenir AUG | Sand Storm (Battle-Scarred),Souvenir AUG | Sand Storm,Battle-Scarred,1.5,1.78,3.35,5
Souvenir AUG | Sand Storm (Factory New),Souvenir AUG | Sand Storm,Factory New,3.99,4.82,11.21,98
Souvenir AUG | Sand Storm (Field-Tested),Souvenir AUG | Sand Storm,Field-Tested,1.66,1.68,5.07,63
