market_hash_name,base_name,wear,min_price,suggested_price,mean_price,quantity
M4A4 | Howl (Factory New),M4A4 | Howl,Factory New,6979.61,8513.21,8545.66,3
Souvenir SSG 08 | Blue Spruce (Minimal Wear),Souvenir SSG 08 | Blue Spruce,Minimal Wear,,60.65,,0
Souvenir SSG 08 | Blue Spruce (Well-Worn),Souvenir SSG 08 | Blue Spruce,Well-Worn,,21.54,,0
Souvenir SSG 08 | Carbon Fiber (Factory New),Souvenir SSG 08 | Carbon Fiber,Factory New,0.99,1.05,9.17,293
Souvenir SSG 08 | Carbon Fiber (Minimal Wear),Souvenir SSG 08 | Carbon Fiber,Minimal Wear,1.1,1.13,8.53,32
Souvenir SSG 08 | Death Strike (Battle-Scarred),Souvenir SSG 08 | Death Strike,Battle-Scarred,100.96,83.4,117.68,5
Souvenir SSG 08 | Death Strike (Factory New),Souvenir SSG 08 | Death Strike,Factory New,270.0,265.25,272.5,2
Souvenir SSG 08 | Death Strike (Field-Tested),Souvenir SSG 08 | Death Strike,Field-Tested,71.7,83.35,87.41,19
Souvenir SSG 08 | Death Strike (Minimal Wear),Souvenir SSG 08 | Death Strike,Minimal Wear,109.33,109.22,155.5,23
Souvenir SSG 08 | Death Strike (Well-Worn),Souvenir SSG 08 | Death Strike,Well-Worn,,82.04,,0
Souvenir SSG 08 | Detour (Factory New),Souvenir SSG 08 | Detour,Factory New,9.81,14.02,45.48,48
Souvenir SSG 08 | Detour (Field-Tested),Souvenir SSG 08 | Detour,Field-Tested,4.99,4.31,16.43,29
Souvenir SSG 08 | Detour (Minimal Wear),Souvenir SSG 08 | Detour,Minimal Wear,7.79,8.07,26.19,33
Souvenir SSG 08 | Detour (Well-Worn),Souvenir SSG 08 | Detour,Well-Worn,,4.1,,0
Souvenir SSG 08 | Hand Brake (Battle-Scarred),Souvenir SSG 08 | Hand Brake,Battle-Scarred,2.51,1.55,7.79,13
Souvenir SSG 08 | Hand Brake (Factory New),Souvenir SSG 08 | Hand Brake,Factory New,31.99,24.88,309.84,5
Souvenir SSG 08 | Hand Brake (Field-Tested),Souvenir SSG 08 | Hand Brake,Field-Tested,3.93,1.57,5.65,14
Souvenir SSG 08 | Hand Brake (Minimal Wear),Souvenir SSG 08 | Hand Brake,Minimal Wear,3.99,3.96,16.13,18
Souvenir SSG 08 | Hand Brake (Well-Worn),Souvenir SSG 08 | Hand Brake,Well-Worn,1.17,1.65,3.71,14
Souvenir SSG 08 | Jungle Dashed (Battle-Scarred),Souvenir SSG 08 | Jungle Dashed,Battle-Scarred,0.02,0.03,0.17,534
Souvenir SSG 08 | Jungle Dashed (Factory New),Souvenir SSG 08 | Jungle Dashed,Factory New,1.05,1.04,3.62,12
Souvenir SSG 08 | Jungle Dashed (Field-Tested),Souvenir SSG 08 | Jungle Dashed,Field-Tested,0.02,0.03,0.22,1874
Souvenir SSG 08 | Jungle Dashed (Minimal Wear),Souvenir SSG 08 | Jungle Dashed,Minimal Wear,0.02,0.03,1.78,187
Souvenir SSG 08 | Jungle Dashed (Well-Worn),Souvenir SSG 08 | Jungle Dashed,Well-Worn,0.02,0.03,0.59,175
Souvenir SSG 08 | Prey (Battle-Scarred),Souvenir SSG 08 | Prey,Battle-Scarred,0.02,0.03,0.46,153
Souvenir SSG 08 | Prey (Factory New),Souvenir SSG 08 | Prey,Factory New,0.02,0.03,0.71,1328
Souvenir SSG 08 | Prey (Field-Tested),Souvenir SSG 08 | Prey,Field-Tested,0.02,0.03,0.17,5310
Souvenir SSG 08 | Prey (Minimal Wear),Souvenir SSG 08 | Prey,Minimal Wear,0.02,0.03,0.19,2424
Souvenir SSG 08 | Prey (Well-Worn),Souvenir SSG 08 | Prey,Well-Worn,0.02,0.03,0.29,349
Souvenir SSG 08 | Tropical Storm (Battle-Scarred),Souvenir SSG 08 | Tropical Storm,Battle-Scarred,1.91,2.02,8.85,6
Souvenir SSG 08 | Tropical Storm (Factory New),Souvenir SSG 08 | Tropical Storm,Factory New,199.37,209.87,199.37,1
Souvenir SSG 08 | Tropical Storm (Field-Tested),Souvenir SSG 08 | Tropical Storm,Field-Tested,2.5,2.21,14.59,40
Souvenir SSG 08 | Tropical Storm (Minimal Wear),Souvenir SSG 08 | Tropical Storm,Minimal Wear,6.9,5.57,18.96,11
Souvenir SSG 08 | Tropical Storm (Well-Worn),Souvenir SSG 08 | Tropical Storm,Well-Worn,3.23,2.46,7.53,12
Souvenir Sawed-Off | Amber Fade (Factory New),Souvenir Sawed-Off | Amber Fade,Factory New,31.35,8.35,769.65,2
Souvenir Sawed-Off | Amber Fade (Field-Tested),Souvenir Sawed-Off | Amber Fade,Field-Tested,20.41,8.5,20.41,1
Souvenir Sawed-Off | Amber Fade (Minimal Wear),Souvenir Sawed-Off | Amber Fade,Minimal Wear,,8.6,,0
Souvenir Sawed-Off | Amber Fade (Well-Worn),Souvenir Sawed-Off | Amber Fade,Well-Worn,,8.75,,0
Souvenir Sawed-Off | Brake Light (Factory New),Souvenir Sawed-Off | Brake Light,Factory New,0.29,0.38,6.66,51
Souvenir Sawed-Off | Brake Light (Minimal Wear),Souvenir Sawed-Off | Brake Light,Minimal Wear,5.87,2.01,45.03,2
Souvenir Sawed-Off | Full Stop (Battle-Scarred),Souvenir Sawed-Off | Full Stop,Battle-Scarred,,201.64,,0
Souvenir Sawed-Off | Full Stop (Factory New),Souvenir Sawed-Off | Full Stop,Factory New,,399.05,,0
Souvenir Sawed-Off | Full Stop (Field-Tested),Souvenir Sawed-Off | Full Stop,Field-Tested,,34.2,,0
Souvenir Sawed-Off | Full Stop (Minimal Wear),Souvenir Sawed-Off | Full Stop,Minimal Wear,352.31,124.95,352.31,1
Souvenir Sawed-Off | Irradiated Alert (Battle-Scarred),Souvenir Sawed-Off | Irradiated Alert,Battle-Scarred,0.54,0.4,17.0,16
Souvenir Sawed-Off | Irradiated Alert (Factory New),Souvenir Sawed-Off | Irradiated Alert,Factory New,,17.93,,0
Souvenir Sawed-Off | Irradiated Alert (Field-Tested),Souvenir Sawed-Off | Irradiated Alert,Field-Tested,0.64,0.5,16.13,39
Souvenir Sawed-Off | Irradiated Alert (Minimal Wear),Souvenir Sawed-Off | Irradiated Alert,Minimal Wear,0.7,0.96,6.69,27
Souvenir Sawed-Off | Irradiated Alert (Well-Worn),Souvenir Sawed-Off | Irradiated Alert,Well-Worn,1.65,0.72,2.21,7
Souvenir Sawed-Off | Parched (Battle-Scarred),Souvenir Sawed-Off | Parched,Battle-Scarred,0.02,0.03,0.75,76
Souvenir Sawed-Off | Parched (Factory New),Souvenir Sawed-Off | Parched,Factory New,0.02,0.03,0.81,598
Souvenir Sawed-Off | Parched (Field-Tested),Souvenir Sawed-Off | Parched,Field-Tested,0.02,0.03,0.39,2719
Souvenir Sawed-Off | Parched (Minimal Wear),Souvenir Sawed-Off | Parched,Minimal Wear,0.02,0.03,0.47,1255
Souvenir Sawed-Off | Parched (Well-Worn),Souvenir Sawed-Off | Parched,Well-Worn,0.02,0.03,0.29,239
Souvenir Sawed-Off | Rust Coat (Battle-Scarred),Souvenir Sawed-Off | Rust Coat,Battle-Scarred,12.37,2.92,17.67,4
Souvenir Sawed-Off | Rust Coat (Factory New),Souvenir Sawed-Off | Rust Coat,Factory New,98.22,4.4,98.22,1
Souvenir Sawed-Off | Rust Coat (Field-Tested),Souvenir Sawed-Off | Rust Coat,Field-Tested,1.19,1.1,27.19,26
Souvenir Sawed-Off | Rust Coat (Minimal Wear),Souvenir Sawed-Off | Rust Coat,Minimal Wear,2.75,1.42,9.67,6
Souvenir Sawed-Off | Rust Coat (Well-Worn),Souvenir Sawed-Off | Rust Coat,Well-Worn,,5.54,,0
Souvenir Sawed-Off | Sage Spray (Battle-Scarred),Souvenir Sawed-Off | Sage Spray,Battle-Scarred,0.02,0.03,0.57,149
Souvenir Sawed-Off | Sage Spray (Factory New),Souvenir Sawed-Off | Sage Spray,Factory New,1.75,0.73,2.35,6
Souvenir Sawed-Off | Sage Spray (Field-Tested),Souvenir Sawed-Off | Sage Spray,Field-Tested,0.02,0.03,0.6,333
Souvenir Sawed-Off | Sage Spray (Minimal Wear),Souvenir Sawed-Off | Sage Spray,Minimal Wear,0.02,0.03,1.2,106
Souvenir Sawed-Off | Sage Spray (Well-Worn),Souvenir Sawed-Off | Sage Spray,Well-Worn,0.02,0.03,0.52,63
Souvenir Sawed-Off | Snake Camo (Battle-Scarred),Souvenir Sawed-Off | Snake Camo,Battle-Scarred,0.54,0.68,3.97,5
Souvenir Sawed-Off | Snake Camo (Factory New),Souvenir Sawed-Off | Snake Camo,Factory New,,24.3,,0
Souvenir Sawed-Off | Snake Camo (Field-Tested),Souvenir Sawed-Off | Snake Camo,Field-Tested,0.87,0.22,2.69,12
Souvenir Sawed-Off | Snake Camo (Minimal Wear),Souvenir Sawed-Off | Snake Camo,Minimal Wear,2.99,1.18,33.83,8
Souvenir Sawed-Off | Snake Camo (Well-Worn),Souvenir Sawed-Off | Snake Camo,Well-Worn,4.74,1.51,4.74,1
Souvenir Tec-9 | Army Mesh (Battle-Scarred),Souvenir Tec-9 | Army Mesh,Battle-Scarred,29.99,15.79,34.5,2
Souvenir Tec-9 | Army Mesh (Factory New),Souvenir Tec-9 | Army Mesh,Factory New,55.0,18.51,59.05,2
Souvenir Tec-9 | Army Mesh (Field-Tested),Souvenir Tec-9 | Army Mesh,Field-Tested,,15.77,,0
Souvenir Tec-9 | Army Mesh (Minimal Wear),Souvenir Tec-9 | Army Mesh,Minimal Wear,25.24,13.18,25.24,1
Souvenir Tec-9 | Army Mesh (Well-Worn),Souvenir Tec-9 | Army Mesh,Well-Worn,,15.35,,0
Souvenir Tec-9 | Blast From the Past (Battle-Scarred),Souvenir Tec-9 | Blast From the Past,Battle-Scarred,0.52,0.44,106.4,19
Souvenir Tec-9 | Blast From the Past (Factory New),Souvenir Tec-9 | Blast From the Past,Factory New,1.31,1.32,7.06,31
Souvenir Tec-9 | Blast From the Past (Field-Tested),Souvenir Tec-9 | Blast From the Past,Field-Tested,0.23,0.31,1.67,74
Souvenir Tec-9 | Blast From the Past (Minimal Wear),Souvenir Tec-9 | Blast From the Past,Minimal Wear,0.59,0.66,3.02,32
Souvenir Tec-9 | Blast From the Past (Well-Worn),Souvenir Tec-9 | Blast From the Past,Well-Worn,1.11,1.04,55.71,5
Souvenir Tec-9 | Brass (Battle-Scarred),Souvenir Tec-9 | Brass,Battle-Scarred,15.98,10.02,86.97,4
Souvenir Tec-9 | Brass (Factory New),Souvenir Tec-9 | Brass,Factory New,840.04,321.01,1066.28,2
Souvenir Tec-9 | Brass (Field-Tested),Souvenir Tec-9 | Brass,Field-Tested,11.63,11.31,23.88,7
Souvenir Tec-9 | Brass (Minimal Wear),Souvenir Tec-9 | Brass,Minimal Wear,32.23,26.25,45.28,6
Souvenir Tec-9 | Brass (Well-Worn),Souvenir Tec-9 | Brass,Well-Worn,11.54,12.26,25.38,4
Souvenir Tec-9 | Groundwater (Battle-Scarred),Souvenir Tec-9 | Groundwater,Battle-Scarred,73.24,10.57,73.24,1
Souvenir Tec-9 | Groundwater (Factory New),Souvenir Tec-9 | Groundwater,Factory New,,560.14,,0
Souvenir Tec-9 | Groundwater (Field-Tested),Souvenir Tec-9 | Groundwater,Field-Tested,30.53,15.06,54.51,7
Souvenir Tec-9 | Groundwater (Minimal Wear),Souvenir Tec-9 | Groundwater,Minimal Wear,37.07,24.1,59.33,3
Souvenir Tec-9 | Groundwater (Well-Worn),Souvenir Tec-9 | Groundwater,Well-Worn,60.32,9.8,60.32,1
Souvenir Tec-9 | Mummy's Rot (Battle-Scarred),Souvenir Tec-9 | Mummy's Rot,Battle-Scarred,1.04,0.57,1.05,2
Souvenir Tec-9 | Mummy's Rot (Factory New),Souvenir Tec-9 | Mummy's Rot,Factory New,11.99,8.08,52.41,5
Souvenir Tec-9 | Mummy's Rot (Field-Tested),Souvenir Tec-9 | Mummy's Rot,Field-Tested,0.68,0.68,1.42,13
Souvenir Tec-9 | Mummy's Rot (Minimal Wear),Souvenir Tec-9 | Mummy's Rot,Minimal Wear,0.96,1.31,4.33,12
Souvenir Tec-9 | Mummy's Rot (Well-Worn),Souvenir Tec-9 | Mummy's Rot,Well-Worn,0.48,0.47,0.86,8
Souvenir Tec-9 | Nuclear Threat (Battle-Scarred),Souvenir Tec-9 | Nuclear Threat,Battle-Scarred,,94.4,,0
Souvenir Tec-9 | Nuclear Threat (Field-Tested),Souvenir Tec-9 | Nuclear Threat,Field-Tested,,95.73,,0
Souvenir Tec-9 | Nuclear Threat (Minimal Wear),Souvenir Tec-9 | Nuclear Threat,Minimal Wear,2325.22,128.89,2325.22,1
Souvenir Tec-9 | Nuclear Threat (Well-Worn),Souvenir Tec-9 | Nuclear Threat,Well-Worn,,2057.26,,0
Souvenir Tec-9 | Red Quartz (Factory New),Souvenir Tec-9 | Red Quartz,Factory New,25.85,25.67,36.73,3
Souvenir Tec-9 | Red Quartz (Field-Tested),Souvenir Tec-9 | Red Quartz,Field-Tested,11.72,12.57,32.89,7
Souvenir Tec-9 | Red Quartz (Minimal Wear),Souvenir Tec-9 | Red Quartz,Minimal Wear,12.05,14.32,41.05,5
Souvenir Tec-9 | Red Quartz (Well-Worn),Souvenir Tec-9 | Red Quartz,Well-Worn,,15.33,,0
Souvenir Tec-9 | Remote Control (Battle-Scarred),Souvenir Tec-9 | Remote Control,Battle-Scarred,15.71,14.88,15.71,1
Souvenir Tec-9 | Remote Control (Factory New),Souvenir Tec-9 | Remote Control,Factory New,,100.9,,0
Souvenir Tec-9 | Remote Control (Field-Tested),Souvenir Tec-9 | Remote Control,Field-Tested,,17.19,,0
Souvenir Tec-9 | Remote Control (Minimal Wear),Souvenir Tec-9 | Remote Control,Minimal Wear,29.71,34.32,52.08,4
Souvenir Tec-9 | Remote Control (Well-Worn),Souvenir Tec-9 | Remote Control,Well-Worn,65.0,15.37,65.0,1
Souvenir Tec-9 | Toxic (Battle-Scarred),Souvenir Tec-9 | Toxic,Battle-Scarred,13.0,9.87,13.75,2
Souvenir Tec-9 | Toxic (Factory New),Souvenir Tec-9 | Toxic,Factory New,74.99,53.98,103.94,3
Souvenir Tec-9 | Toxic (Field-Tested),Souvenir Tec-9 | Toxic,Field-Tested,12.2,11.69,110.25,12
Souvenir Tec-9 | Toxic (Minimal Wear),Souvenir Tec-9 | Toxic,Minimal Wear,23.99,24.24,66.44,13
Souvenir Tec-9 | Toxic (Well-Worn),Souvenir Tec-9 | Toxic,Well-Worn,8.45,11.58,19.48,3
Souvenir Tec-9 | VariCamo (Battle-Scarred),Souvenir Tec-9 | VariCamo,Battle-Scarred,4.32,3.15,8.87,6
Souvenir Tec-9 | VariCamo (Factory New),Souvenir Tec-9 | VariCamo,Factory New,12.92,6.18,34.19,7
Souvenir Tec-9 | VariCamo (Field-Tested),Souvenir Tec-9 | VariCamo,Field-Tested,2.13,1.82,12.97,18
Souvenir Tec-9 | VariCamo (Minimal Wear),Souvenir Tec-9 | VariCamo,Minimal Wear,3.22,2.6,18.57,13
Souvenir Tec-9 | VariCamo (Well-Worn),Souvenir Tec-9 | VariCamo,Well-Worn,,5.89,,0
Souvenir Tec-9 | Whiteout (Battle-Scarred),Souvenir Tec-9 | Whiteout,Battle-Scarred,4.99,2.57,7.73,7
Souvenir Tec-9 | Whiteout (Field-Tested),Souvenir Tec-9 | Whiteout,Field-Tested,5.05,5.2,6.86,26
Souvenir Tec-9 | Whiteout (Minimal Wear),Souvenir Tec-9 | Whiteout,Minimal Wear,34.47,37.06,34.47,1
Souvenir Tec-9 | Whiteout (Well-Worn),Souvenir Tec-9 | Whiteout,Well-Worn,7.9,3.07,7.9,1
Souvenir UMP-45 | Blaze (Factory New),Souvenir UMP-45 | Blaze,Factory New,26.2,29.9,140.19,25
Souvenir UMP-45 | Blaze (Minimal Wear),Souvenir UMP-45 | Blaze,Minimal Wear,38.99,33.2,38.99,1
Souvenir UMP-45 | Facility Dark (Battle-Scarred),Souvenir UMP-45 | Facility Dark,Battle-Scarred,0.12,0.08,2.59,44
Souvenir UMP-45 | Facility Dark (Factory New),Souvenir UMP-45 | Facility Dark,Factory New,0.04,0.05,1.36,111
Souvenir UMP-45 | Facility Dark (Field-Tested),Souvenir UMP-45 | Facility Dark,Field-Tested,0.02,0.03,0.5,388
Souvenir UMP-45 | Facility Dark (Minimal Wear),Souvenir UMP-45 | Facility Dark,Minimal Wear,0.02,0.03,1.52,118
Souvenir UMP-45 | Facility Dark (Well-Worn),Souvenir UMP-45 | Facility Dark,Well-Worn,0.04,0.04,2.56,24
Souvenir UMP-45 | Fade (Factory New),Souvenir UMP-45 | Fade,Factory New,39.9,38.42,139.08,35
Souvenir UMP-45 | Fade (Minimal Wear),Souvenir UMP-45 | Fade,Minimal Wear,64.9,63.88,64.9,1
Souvenir UMP-45 | Fallout Warning (Battle-Scarred),Souvenir UMP-45 | Fallout Warning,Battle-Scarred,3.82,2.75,8.37,5
Souvenir UMP-45 | Fallout Warning (Factory New),Souvenir UMP-45 | Fallout Warning,Factory New,,50.56,,0
Souvenir UMP-45 | Fallout Warning (Field-Tested),Souvenir UMP-45 | Fallout Warning,Field-Tested,4.33,3.02,14.67,7
Souvenir UMP-45 | Fallout Warning (Minimal Wear),Souvenir UMP-45 | Fallout Warning,Minimal Wear,9.39,8.2,11.59,3
Souvenir UMP-45 | Fallout Warning (Well-Worn),Souvenir UMP-45 | Fallout Warning,Well-Worn,5.74,4.07,9.78,5
Souvenir UMP-45 | Gunsmoke (Battle-Scarred),Souvenir UMP-45 | Gunsmoke,Battle-Scarred,,23.39,,0
Souvenir UMP-45 | Gunsmoke (Factory New),Souvenir UMP-45 | Gunsmoke,Factory New,,1751.51,,0
Souvenir UMP-45 | Gunsmoke (Field-Tested),Souvenir UMP-45 | Gunsmoke,Field-Tested,140.92,40.42,220.46,2
Souvenir UMP-45 | Gunsmoke (Minimal Wear),Souvenir UMP-45 | Gunsmoke,Minimal Wear,189.57,26.9,706.88,2
Souvenir UMP-45 | Gunsmoke (Well-Worn),Souvenir UMP-45 | Gunsmoke,Well-Worn,,38.79,,0
Souvenir UMP-45 | Indigo (Battle-Scarred),Souvenir UMP-45 | Indigo,Battle-Scarred,0.83,0.82,4.48,14
Souvenir UMP-45 | Indigo (Factory New),Souvenir UMP-45 | Indigo,Factory New,29.0,22.34,35.03,4
Souvenir UMP-45 | Indigo (Field-Tested),Souvenir UMP-45 | Indigo,Field-Tested,0.93,1.13,6.5,81
Souvenir UMP-45 | Indigo (Minimal Wear),Souvenir UMP-45 | Indigo,Minimal Wear,3.4,3.02,12.66,33
Souvenir UMP-45 | Indigo (Well-Worn),Souvenir UMP-45 | Indigo,Well-Worn,1.8,1.09,3.15,8
Souvenir UMP-45 | Late Night Transit (Battle-Scarred),Souvenir UMP-45 | Late Night Transit,Battle-Scarred,1.2,0.12,1.2,1
Souvenir UMP-45 | Late Night Transit (Factory New),Souvenir UMP-45 | Late Night Transit,Factory New,,1.79,,0
Souvenir UMP-45 | Late Night Transit (Field-Tested),Souvenir UMP-45 | Late Night Transit,Field-Tested,1.29,0.13,1.29,6
Souvenir UMP-45 | Late Night Transit (Minimal Wear),Souvenir UMP-45 | Late Night Transit,Minimal Wear,0.23,0.3,0.23,1
Souvenir UMP-45 | Late Night Transit (Well-Worn),Souvenir UMP-45 | Late Night Transit,Well-Worn,0.1,0.1,0.1,1
Souvenir UMP-45 | Mechanism (Battle-Scarred),Souvenir UMP-45 | Mechanism,Battle-Scarred,1.24,0.96,1.69,6
Souvenir UMP-45 | Mechanism (Factory New),Souvenir UMP-45 | Mechanism,Factory New,0.26,0.17,2.99,208
Souvenir UMP-45 | Mechanism (Field-Tested),Souvenir UMP-45 | Mechanism,Field-Tested,0.13,0.04,1.57,29
Souvenir UMP-45 | Mechanism (Minimal Wear),Souvenir UMP-45 | Mechanism,Minimal Wear,0.09,0.08,1.54,65
Souvenir UMP-45 | Mechanism (Well-Worn),Souvenir UMP-45 | Mechanism,Well-Worn,,1.29,,0
Souvenir UMP-45 | Mudder (Battle-Scarred),Souvenir UMP-45 | Mudder,Battle-Scarred,0.02,0.03,0.61,89
Souvenir UMP-45 | Mudder (Factory New),Souvenir UMP-45 | Mudder,Factory New,1.46,0.73,4.54,6
Souvenir UMP-45 | Mudder (Field-Tested),Souvenir UMP-45 | Mudder,Field-Tested,0.02,0.03,0.69,538
Souvenir UMP-45 | Mudder (Minimal Wear),Souvenir UMP-45 | Mudder,Minimal Wear,0.02,0.03,1.38,116
Souvenir UMP-45 | Mudder (Well-Worn),Souvenir UMP-45 | Mudder,Well-Worn,0.02,0.03,0.9,27
Souvenir UMP-45 | Scorched (Battle-Scarred),Souvenir UMP-45 | Scorched,Battle-Scarred,0.02,0.03,1.43,58
Souvenir UMP-45 | Scorched (Factory New),Souvenir UMP-45 | Scorched,Factory New,1.08,0.75,3.18,6
Souvenir UMP-45 | Scorched (Field-Tested),Souvenir UMP-45 | Scorched,Field-Tested,0.02,0.03,0.7,555
Souvenir UMP-45 | Scorched (Minimal Wear),Souvenir UMP-45 | Scorched,Minimal Wear,0.02,0.03,1.26,141
Souvenir UMP-45 | Scorched (Well-Worn),Souvenir UMP-45 | Scorched,Well-Worn,0.02,0.03,0.58,68
Souvenir UMP-45 | Urban DDPAT (Battle-Scarred),Souvenir UMP-45 | Urban DDPAT,Battle-Scarred,0.34,0.17,3.07,11
Souvenir UMP-45 | Urban DDPAT (Factory New),Souvenir UMP-45 | Urban DDPAT,Factory New,50.0,10.15,250.0,2
Souvenir UMP-45 | Urban DDPAT (Field-Tested),Souvenir UMP-45 | Urban DDPAT,Field-Tested,0.2,0.2,6.32,57
Souvenir UMP-45 | Urban DDPAT (Minimal Wear),Souvenir UMP-45 | Urban DDPAT,Minimal Wear,0.69,0.52,15.96,31
Souvenir UMP-45 | Urban DDPAT (Well-Worn),Souvenir UMP-45 | Urban DDPAT,Well-Worn,0.79,0.37,14.22,7
Souvenir USP-S | Ancient Visions (Factory New),Souvenir USP-S | Ancient Visions,Factory New,15.41,14.03,37.33,12
Souvenir USP-S | Ancient Visions (Field-Tested),Souvenir USP-S | Ancient Visions,Field-Tested,5.17,5.55,16.32,24
Souvenir USP-S | Ancient Visions (Minimal Wear),Souvenir USP-S | Ancient Visions,Minimal Wear,7.48,8.4,19.31,29
Souvenir USP-S | Ancient Visions (Well-Worn),Souvenir USP-S | Ancient Visions,Well-Worn,17.83,9.47,17.83,1
Souvenir USP-S | Check Engine (Battle-Scarred),Souvenir USP-S | Check Engine,Battle-Scarred,9.29,7.56,11.47,4
Souvenir USP-S | Check Engine (Factory New),Souvenir USP-S | Check Engine,Factory New,11.35,12.99,29.32,17
Souvenir USP-S | Check Engine (Field-Tested),Souvenir USP-S | Check Engine,Field-Tested,6.23,7.68,14.03,41
Souvenir USP-S | Check Engine (Minimal Wear),Souvenir USP-S | Check Engine,Minimal Wear,8.89,7.76,36.32,16
Souvenir USP-S | Check Engine (Well-Worn),Souvenir USP-S | Check Engine,Well-Worn,34.47,7.09,34.74,2
Souvenir USP-S | Desert Tactical (Battle-Scarred),Souvenir USP-S | Desert Tactical,Battle-Scarred,0.22,0.29,1.96,28
Souvenir USP-S | Desert Tactical (Factory New),Souvenir USP-S | Desert Tactical,Factory New,4.77,3.26,19.56,22
Souvenir USP-S | Desert Tactical (Field-Tested),Souvenir USP-S | Desert Tactical,Field-Tested,0.21,0.31,3.05,64
Souvenir USP-S | Desert Tactical (Minimal Wear),Souvenir USP-S | Desert Tactical,Minimal Wear,0.72,0.52,2.99,31
Souvenir USP-S | Desert Tactical (Well-Worn),Souvenir USP-S | Desert Tactical,Well-Worn,0.2,0.28,1.9,35
Souvenir USP-S | Forest Leaves (Battle-Scarred),Souvenir USP-S | Forest Leaves,Battle-Scarred,,53.11,,0
Souvenir USP-S | Forest Leaves (Factory New),Souvenir USP-S | Forest Leaves,Factory New,,3495.69,,0
Souvenir USP-S | Forest Leaves (Field-Tested),Souvenir USP-S | Forest Leaves,Field-Tested,210.82,60.58,210.82,1
Souvenir USP-S | Forest Leaves (Minimal Wear),Souvenir USP-S | Forest Leaves,Minimal Wear,,75.36,,0
Souvenir USP-S | Forest Leaves (Well-Worn),Souvenir USP-S | Forest Leaves,Well-Worn,,118.52,,0
Souvenir USP-S | Night Ops (Battle-Scarred),Souvenir USP-S | Night Ops,Battle-Scarred,,25.17,,0
Souvenir USP-S | Night Ops (Factory New),Souvenir USP-S | Night Ops,Factory New,,592.49,,0
Souvenir USP-S | Night Ops (Field-Tested),Souvenir USP-S | Night Ops,Field-Tested,199.45,238.34,224.23,2
Souvenir USP-S | Night Ops (Minimal Wear),Souvenir USP-S | Night Ops,Minimal Wear,861.32,260.51,861.32,1
Souvenir USP-S | Night Ops (Well-Worn),Souvenir USP-S | Night Ops,Well-Worn,,86.72,,0
Souvenir USP-S | Orange Anolis (Factory New),Souvenir USP-S | Orange Anolis,Factory New,8.26,10.39,27.98,29
Souvenir USP-S | Orange Anolis (Field-Tested),Souvenir USP-S | Orange Anolis,Field-Tested,6.4,6.78,14.0,26
Souvenir USP-S | Orange Anolis (Minimal Wear),Souvenir USP-S | Orange Anolis,Minimal Wear,5.97,7.45,12.16,40
Souvenir USP-S | Purple DDPAT (Battle-Scarred),Souvenir USP-S | Purple DDPAT,Battle-Scarred,1.32,1.88,6.24,22
Souvenir USP-S | Purple DDPAT (Factory New),Souvenir USP-S | Purple DDPAT,Factory New,7.95,8.68,41.7,157
Souvenir USP-S | Purple DDPAT (Field-Tested),Souvenir USP-S | Purple DDPAT,Field-Tested,2.1,2.15,5.56,258
Souvenir USP-S | Purple DDPAT (Minimal Wear),Souvenir USP-S | Purple DDPAT,Minimal Wear,4.57,5.08,9.79,199
Souvenir USP-S | Purple DDPAT (Well-Worn),Souvenir USP-S | Purple DDPAT,Well-Worn,1.89,2.18,5.74,27
Souvenir USP-S | Road Rash (Battle-Scarred),Souvenir USP-S | Road Rash,Battle-Scarred,21.95,17.15,80.85,13
Souvenir USP-S | Road Rash (Factory New),Souvenir USP-S | Road Rash,Factory New,79.99,85.55,83.27,2
Souvenir USP-S | Road Rash (Field-Tested),Souvenir USP-S | Road Rash,Field-Tested,24.37,20.22,28.96,6
Souvenir USP-S | Road Rash (Minimal Wear),Souvenir USP-S | Road Rash,Minimal Wear,32.0,27.87,56.31,7
Souvenir USP-S | Road Rash (Well-Worn),Souvenir USP-S | Road Rash,Well-Worn,34.99,16.66,227.84,2
Souvenir USP-S | Royal Blue (Battle-Scarred),Souvenir USP-S | Royal Blue,Battle-Scarred,11.93,13.31,15.0,8
Souvenir USP-S | Royal Blue (Factory New),Souvenir USP-S | Royal Blue,Factory New,,710.99,,0
Souvenir USP-S | Royal Blue (Field-Tested),Souvenir USP-S | Royal Blue,Field-Tested,12.62,13.6,29.53,31
Souvenir USP-S | Royal Blue (Minimal Wear),Souvenir USP-S | Royal Blue,Minimal Wear,30.6,35.69,59.14,24
Souvenir USP-S | Royal Blue (Well-Worn),Souvenir USP-S | Royal Blue,Well-Worn,22.0,14.79,25.51,3
Souvenir XM1014 | Ancient Lore (Battle-Scarred),Souvenir XM1014 | Ancient Lore,Battle-Scarred,,2.83,,0
Souvenir XM1014 | Ancient Lore (Factory New),Souvenir XM1014 | Ancient Lore,Factory New,2.49,3.12,11.16,7
Souvenir XM1014 | Ancient Lore (Field-Tested),Souvenir XM1014 | Ancient Lore,Field-Tested,0.73,0.76,2.53,19
Souvenir XM1014 | Ancient Lore (Minimal Wear),Souvenir XM1014 | Ancient Lore,Minimal Wear,5.18,1.5,5.18,1
Souvenir XM1014 | Ancient Lore (Well-Worn),Souvenir XM1014 | Ancient Lore,Well-Worn,3.68,1.5,8.35,3
