market_hash_name,base_name,wear,min_price,suggested_price,mean_price,quantity
AK-47 | Aquamarine Revenge (Battle-Scarred),AK-47 | Aquamarine Revenge,Battle-Scarred,25.35,32.5,43.67,18
AK-47 | Aquamarine Revenge (Factory New),AK-47 | Aquamarine Revenge,Factory New,186.71,224.95,221.87,21
AK-47 | Aquamarine Revenge (Field-Tested),AK-47 | Aquamarine Revenge,Field-Tested,34.76,39.66,44.37,34
AK-47 | Aquamarine Revenge (Minimal Wear),AK-47 | Aquamarine Revenge,Minimal Wear,70.7,88.38,91.34,70
AK-47 | Aquamarine Revenge (Well-Worn),AK-47 | Aquamarine Revenge,Well-Worn,28.35,32.77,38.46,15
AK-47 | Asiimov (Battle-Scarred),AK-47 | Asiimov,Battle-Scarred,24.3,29.9,31.4,30
AK-47 | Asiimov (Factory New),AK-47 | Asiimov,Factory New,230.0,263.55,343.69,17
AK-47 | Asiimov (Field-Tested),AK-47 | Asiimov,Field-Tested,25.31,32.09,113.53,248
AK-47 | Asiimov (Minimal Wear),AK-47 | Asiimov,Minimal Wear,50.0,61.97,278.51,162
AK-47 | Asiimov (Well-Worn),AK-47 | Asiimov,Well-Worn,30.0,37.5,36.63,23
AK-47 | B the Monster (Battle-Scarred),AK-47 | B the Monster,Battle-Scarred,112.29,126.65,185.12,10
AK-47 | B the Monster (Factory New),AK-47 | B the Monster,Factory New,775.5,858.96,1010.74,9
AK-47 | B the Monster (Field-Tested),AK-47 | B the Monster,Field-Tested,216.16,257.5,247.32,28
AK-47 | B the Monster (Minimal Wear),AK-47 | B the Monster,Minimal Wear,340.0,390.58,529.93,40
AK-47 | B the Monster (Well-Worn),AK-47 | B the Monster,Well-Worn,193.09,209.32,209.2,3
AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple,Battle-Scarred,6.46,6.72,9.38,17
AK-47 | Baroque Purple (Factory New),AK-47 | Baroque Purple,Factory New,20.0,24.52,36.56,35
AK-47 | Baroque Purple (Field-Tested),AK-47 | Baroque Purple,Field-Tested,6.43,7.0,9.81,66
AK-47 | Baroque Purple (Minimal Wear),AK-47 | Baroque Purple,Minimal Wear,8.18,8.35,13.53,39
AK-47 | Baroque Purple (Well-Worn),AK-47 | Baroque Purple,Well-Worn,6.91,6.93,8.52,9
AK-47 | Black Laminate (Battle-Scarred),AK-47 | Black Laminate,Battle-Scarred,46.32,44.12,74.1,9
AK-47 | Black Laminate (Factory New),AK-47 | Black Laminate,Factory New,208.28,201.18,208.28,1
AK-47 | Black Laminate (Field-Tested),AK-47 | Black Laminate,Field-Tested,40.8,52.86,124.6,38
AK-47 | Black Laminate (Minimal Wear),AK-47 | Black Laminate,Minimal Wear,49.19,46.85,202.42,36
AK-47 | Black Laminate (Well-Worn),AK-47 | Black Laminate,Well-Worn,47.49,42.26,551.27,6
AK-47 | Bloodsport (Factory New),AK-47 | Bloodsport,Factory New,261.69,323.44,316.97,39
AK-47 | Bloodsport (Field-Tested),AK-47 | Bloodsport,Field-Tested,160.0,200.12,187.78,52
AK-47 | Bloodsport (Minimal Wear),AK-47 | Bloodsport,Minimal Wear,184.29,231.26,213.56,47
AK-47 | Bloodsport (Well-Worn),AK-47 | Bloodsport,Well-Worn,167.12,197.18,183.43,4
AK-47 | Blue Laminate (Factory New),AK-47 | Blue Laminate,Factory New,18.29,21.58,169.82,135
AK-47 | Blue Laminate (Field-Tested),AK-47 | Blue Laminate,Field-Tested,14.43,15.85,136.36,94
AK-47 | Blue Laminate (Minimal Wear),AK-47 | Blue Laminate,Minimal Wear,14.31,16.44,144.78,169
AK-47 | Blue Laminate (Well-Worn),AK-47 | Blue Laminate,Well-Worn,14.78,19.99,18.33,7
AK-47 | Cartel (Battle-Scarred),AK-47 | Cartel,Battle-Scarred,13.33,15.31,22.24,23
AK-47 | Cartel (Factory New),AK-47 | Cartel,Factory New,38.8,47.2,67.16,36
AK-47 | Cartel (Field-Tested),AK-47 | Cartel,Field-Tested,13.5,15.28,31.26,53
AK-47 | Cartel (Minimal Wear),AK-47 | Cartel,Minimal Wear,17.86,20.19,62.5,72
AK-47 | Cartel (Well-Worn),AK-47 | Cartel,Well-Worn,13.49,18.48,21.81,7
AK-47 | Case Hardened (Battle-Scarred),AK-47 | Case Hardened,Battle-Scarred,168.12,1368.41,700.38,20
AK-47 | Case Hardened (Factory New),AK-47 | Case Hardened,Factory New,330.02,3634.65,1674.55,33
AK-47 | Case Hardened (Field-Tested),AK-47 | Case Hardened,Field-Tested,203.14,1777.93,541.31,75
AK-47 | Case Hardened (Minimal Wear),AK-47 | Case Hardened,Minimal Wear,246.35,1973.81,879.49,112
AK-47 | Case Hardened (Well-Worn),AK-47 | Case Hardened,Well-Worn,188.0,1630.32,385.27,32
AK-47 | Crossfade (Battle-Scarred),AK-47 | Crossfade,Battle-Scarred,1.25,1.32,1.75,6
AK-47 | Crossfade (Factory New),AK-47 | Crossfade,Factory New,3.31,3.84,7.55,230
AK-47 | Crossfade (Field-Tested),AK-47 | Crossfade,Field-Tested,1.39,1.61,4.0,266
AK-47 | Crossfade (Minimal Wear),AK-47 | Crossfade,Minimal Wear,1.88,2.22,4.84,115
AK-47 | Crossfade (Well-Worn),AK-47 | Crossfade,Well-Worn,1.46,1.85,2.4,23
AK-47 | Elite Build (Battle-Scarred),AK-47 | Elite Build,Battle-Scarred,0.82,0.98,4.32,215
AK-47 | Elite Build (Factory New),AK-47 | Elite Build,Factory New,7.76,7.49,24.3,85
AK-47 | Elite Build (Field-Tested),AK-47 | Elite Build,Field-Tested,1.16,1.53,6.39,430
AK-47 | Elite Build (Minimal Wear),AK-47 | Elite Build,Minimal Wear,1.82,2.44,8.44,282
AK-47 | Elite Build (Well-Worn),AK-47 | Elite Build,Well-Worn,0.8,1.07,5.02,392
AK-47 | Emerald Pinstripe (Battle-Scarred),AK-47 | Emerald Pinstripe,Battle-Scarred,2.22,2.58,8.89,42
AK-47 | Emerald Pinstripe (Factory New),AK-47 | Emerald Pinstripe,Factory New,10.74,12.62,36.06,37
AK-47 | Emerald Pinstripe (Field-Tested),AK-47 | Emerald Pinstripe,Field-Tested,2.6,3.01,10.88,203
AK-47 | Emerald Pinstripe (Minimal Wear),AK-47 | Emerald Pinstripe,Minimal Wear,3.79,4.86,22.45,97
AK-47 | Emerald Pinstripe (Well-Worn),AK-47 | Emerald Pinstripe,Well-Worn,5.07,2.63,12.76,23
AK-47 | Fire Serpent (Battle-Scarred),AK-47 | Fire Serpent,Battle-Scarred,545.8,615.58,591.71,11
AK-47 | Fire Serpent (Factory New),AK-47 | Fire Serpent,Factory New,3075.93,3242.11,3174.77,4
AK-47 | Fire Serpent (Field-Tested),AK-47 | Fire Serpent,Field-Tested,837.79,994.99,1312.06,36
AK-47 | Fire Serpent (Minimal Wear),AK-47 | Fire Serpent,Minimal Wear,1464.86,1762.58,1793.74,10
AK-47 | Fire Serpent (Well-Worn),AK-47 | Fire Serpent,Well-Worn,,841.69,,0
AK-47 | First Class (Battle-Scarred),AK-47 | First Class,Battle-Scarred,90.75,93.49,120.22,2
AK-47 | First Class (Factory New),AK-47 | First Class,Factory New,196.81,196.73,196.81,1
AK-47 | First Class (Field-Tested),AK-47 | First Class,Field-Tested,86.68,100.73,122.11,5
AK-47 | First Class (Minimal Wear),AK-47 | First Class,Minimal Wear,112.02,117.74,112.02,1
AK-47 | First Class (Well-Worn),AK-47 | First Class,Well-Worn,98.41,87.92,107.8,3
AK-47 | Frontside Misty (Battle-Scarred),AK-47 | Frontside Misty,Battle-Scarred,12.87,14.94,16.67,21
AK-47 | Frontside Misty (Factory New),AK-47 | Frontside Misty,Factory New,87.47,107.35,122.39,20
AK-47 | Frontside Misty (Field-Tested),AK-47 | Frontside Misty,Field-Tested,13.54,16.04,22.28,203
AK-47 | Frontside Misty (Minimal Wear),AK-47 | Frontside Misty,Minimal Wear,27.99,32.93,52.99,107
AK-47 | Frontside Misty (Well-Worn),AK-47 | Frontside Misty,Well-Worn,12.11,16.11,25.56,31
AK-47 | Fuel Injector (Battle-Scarred),AK-47 | Fuel Injector,Battle-Scarred,143.86,176.74,173.27,7
AK-47 | Fuel Injector (Factory New),AK-47 | Fuel Injector,Factory New,678.0,704.64,758.0,7
AK-47 | Fuel Injector (Field-Tested),AK-47 | Fuel Injector,Field-Tested,201.94,253.92,263.01,26
AK-47 | Fuel Injector (Minimal Wear),AK-47 | Fuel Injector,Minimal Wear,271.34,355.0,332.12,18
AK-47 | Fuel Injector (Well-Worn),AK-47 | Fuel Injector,Well-Worn,172.34,205.18,198.8,8
AK-47 | Gold Arabesque (Battle-Scarred),AK-47 | Gold Arabesque,Battle-Scarred,1728.67,1834.85,2842.89,3
AK-47 | Gold Arabesque (Factory New),AK-47 | Gold Arabesque,Factory New,4308.4,5199.54,5475.5,9
AK-47 | Gold Arabesque (Field-Tested),AK-47 | Gold Arabesque,Field-Tested,2189.99,2570.3,2393.32,5
AK-47 | Gold Arabesque (Minimal Wear),AK-47 | Gold Arabesque,Minimal Wear,2799.0,3504.36,3333.0,3
AK-47 | Gold Arabesque (Well-Worn),AK-47 | Gold Arabesque,Well-Worn,2162.28,1974.96,2162.28,1
AK-47 | Green Laminate (Factory New),AK-47 | Green Laminate,Factory New,29.45,31.87,55.07,24
AK-47 | Green Laminate (Field-Tested),AK-47 | Green Laminate,Field-Tested,15.5,19.04,25.14,24
AK-47 | Green Laminate (Minimal Wear),AK-47 | Green Laminate,Minimal Wear,17.2,20.72,540.02,20
AK-47 | Green Laminate (Well-Worn),AK-47 | Green Laminate,Well-Worn,,29.45,,0
AK-47 | Head Shot (Battle-Scarred),AK-47 | Head Shot,Battle-Scarred,3.84,4.06,6.75,54
AK-47 | Head Shot (Factory New),AK-47 | Head Shot,Factory New,45.26,57.62,94.2,45
AK-47 | Head Shot (Field-Tested),AK-47 | Head Shot,Field-Tested,5.68,6.7,13.83,287
AK-47 | Head Shot (Minimal Wear),AK-47 | Head Shot,Minimal Wear,13.1,15.44,26.24,162
AK-47 | Head Shot (Well-Worn),AK-47 | Head Shot,Well-Worn,4.22,4.68,14.2,128
AK-47 | Hydroponic (Battle-Scarred),AK-47 | Hydroponic,Battle-Scarred,,870.68,,0
AK-47 | Hydroponic (Factory New),AK-47 | Hydroponic,Factory New,4307.54,4616.85,4915.15,4
AK-47 | Hydroponic (Field-Tested),AK-47 | Hydroponic,Field-Tested,1280.05,1545.33,1600.31,3
AK-47 | Hydroponic (Minimal Wear),AK-47 | Hydroponic,Minimal Wear,2300.0,2798.8,2380.88,3
AK-47 | Hydroponic (Well-Worn),AK-47 | Hydroponic,Well-Worn,1100.0,1221.05,1100.0,1
AK-47 | Ice Coaled (Battle-Scarred),AK-47 | Ice Coaled,Battle-Scarred,2.75,3.29,6.13,60
AK-47 | Ice Coaled (Factory New),AK-47 | Ice Coaled,Factory New,12.36,14.76,33.58,136
AK-47 | Ice Coaled (Field-Tested),AK-47 | Ice Coaled,Field-Tested,3.38,4.05,8.31,427
AK-47 | Ice Coaled (Minimal Wear),AK-47 | Ice Coaled,Minimal Wear,6.58,7.72,21.39,289
